63912134, 45.533732217048|-122.64830363056
63912160, 45.531889828448|-122.64881735658
63912863, 45.533245462602|-122.64960377019
219894844, 45.533424295705|-122.64815133354
63915539, 45.531638644923|-122.64845440383
229746078, 45.550263054456|-122.67231323874
320418239, 45.533304948678|-122.66317614446
63843424, 45.554241149478|-122.67657843379
63840724, 45.553188203017|-122.67446086792
63841872, 45.554481284045|-122.67337956835
63839659, 45.553202158315|-122.67338065769
63870249, 45.550206181402|-122.66978648345
63865072, 45.553223727102|-122.67576736811
63866836, 45.544761537129|-122.667565837
335219722, 45.549381235293|-122.67254775744
335250485, 45.544760059593|-122.66756726601
335248802, 45.551207925522|-122.67011384965
335250062, 45.54836752318|-122.67343339051
320444631, 45.550529582779|-122.67551540035
320443607, 45.549443944963|-122.67554778118
133574360, 45.552806133514|-122.6765976028
324225766, 45.553224756027|-122.67766396823
320454002, 45.533638321956|-122.65043384476
355218798, 45.53324484562|-122.64960171758
355219270, 45.547759868385|-122.66887110005
357755126, 45.53404405199|-122.65773793139
351407902, 45.549173148894|-122.67661506293
362943258, 45.533245162628|-122.64959970977
361961205, 45.550530403913|-122.67551744703
359534570, 45.550528495365|-122.67551687615
275459857, 45.552393645604|-122.67521476085
376108415, 45.542024348174|-122.67552699175
400135841, 45.549262032026|-122.6734257837
65134023, 45.553782159191|-122.67445642015
402469841, 45.533242129667|-122.6496000747
238707237, 45.533245616727|-122.64959973131
400129190, 45.534194388972|-122.6669256522
402460585, 45.531492683312|-122.66246788306
287158930, 45.551411899527|-122.67767514233
381077716, 45.544763543901|-122.66756576735
381065620, 45.549119577389|-122.67310350283
381063446, 45.549383985927|-122.67013335561
381079747, 45.531890543213|-122.64881325819
112886379, 45.547622053091|-122.67632243772
404429047, |
383059733, 45.544760593128|-122.66756786383
407110721, 45.549657160105|-122.67661221648
407112174, 45.531495844064|-122.66246543674
104913203, 45.531888729823|-122.64881531545
95326425, 45.531637211156|-122.64845330134
404417037, 45.534197858967|-122.66692621088
407124764, 45.549166518303|-122.6744861881
407124022, 45.530092787313|-122.66015670136
